1:Top 30 Compete:May 26, 2014 (2014-05-26)
2:Top 22 Compete:June 2, 2014 (2014-06-02)
3:Top 20 Compete:June 9, 2014 (2014-06-09)
4:Top 18 Compete:June 16, 2014 (2014-06-16)
5:Top 17 Compete:June 23, 2014 (2014-06-23)
6:Top 16 Compete:June 30, 2014 (2014-06-30)
7:Top 15 Compete:July 7, 2014 (2014-07-07)
8:Top 14 Compete:July 14, 2014 (2014-07-14)
9:Top 13 Compete:July 21, 2014 (2014-07-21)
10:Top 12 Compete:July 28, 2014 (2014-07-28)
11:Top 11 Compete:August 4, 2014 (2014-08-04)
12:Top 10 Compete:August 11, 2014 (2014-08-11)
13:Top 8 Compete:August 18, 2014 (2014-08-18)
14:Top 7 Compete:August 25, 2014 (2014-08-25)
15:Top 6 Compete:September 1, 2014 (2014-09-01)
16:Top 5 Compete:September 1, 2014 (2014-09-01)
17:Top 4 Compete:September 8, 2014 (2014-09-08)
18:Top 3 Compete:September 15, 2014 (2014-09-15)
19:Winner Chosen:September 22, 2014 (2014-09-22)
