Place,Contestant,Episode
3,4/5,6/7,8/9
,Bri,IN,HIGH,WIN,IMM,HIGH,HIGH,WIN,IMM
,Dorian,IN,HIGH,PT,IMM,IN,HIGH,LOW,IN
,Fred,WIN,IMM,WIN,IMM,LOW,LOW,WIN,IMM
,Jamie,WIN,IMM,PT,IMM,IN,HIGH,WIN,IMM
,Keturah,WIN,IMM,WIN,IMM,IN,IN,WIN,IMM
,Micah,IN,HIGH,LOW,PT,IN,HIGH,WIN,IMM
,Nick,WIN,IMM,WIN,IMM,WIN,IMM,WIN,IMM
,Noah,WIN,IMM,WIN,IMM,IN,HIGH,LOW,IN
,Renee,WIN,IMM,LOW,LOW,IN,HIGH,WIN,IMM
,Sam,WIN,IMM,WIN,IMM,LOW,LOW,LOW,LOW
,Sarah,WIN,IMM,LOW,PT,IN,IN,LOW,IN
,Shari,IN,HIGH,LOW,PT,WIN,IMM,LOW,LOW
,Subha,WIN,IMM,LOW,PT,IN,IN,LOW,IN
,Wuta,IN,LOW,LOW,LOW,WIN,IMM,WIN,IMM
15,Liz,IN,LOW,WIN,IMM,LOW,HIGH,LOW,ELIM
Michael,WIN,IMM,PT,IMM,HIGH,WIN,LOW,ELIM
17,Evan,IN,LOW,WIN,IMM,HIGH,ELIM,
18,Kimberly,IN,HIGH,LOW,ELIM,
19,Deanna,IN,ELIM,
Kenny,IN,ELIM,
