1:Auditions #1:July 27, 2010 (2010-07-27)
2:Auditions #2:August 3, 2010 (2010-08-03)
3:Top 14 Chefs Revealed:August 10, 2010 (2010-08-10)
4:Top 14 Chefs Compete, Part 1:August 18, 2010 (2010-08-18)
5:Top 14 Chefs Compete, Part 2:August 18, 2010 (2010-08-18)
6:Top 11 compete, Part 1:August 25, 2010 (2010-08-25)
7:Top 11 compete, Part 2:August 25, 2010 (2010-08-25)
8:Top 9 compete, Part 1:September 1, 2010 (2010-09-01)
9:Top 9 compete, Part 2:September 1, 2010 (2010-09-01)
10:Top 6 Compete, Part 1:September 8, 2010 (2010-09-08)
11:Top 6 Compete, Part 2:September 8, 2010 (2010-09-08)
12:Winner Revealed, Part 1:September 15, 2010 (2010-09-15)
13:Winner Revealed, Part 2:September 15, 2010 (2010-09-15)
